hybrid reset particles  hybrid_init  v/=4:
McTwo/ionosphere.txt  3/34  0.923   0.839622641509434
McTwo/ionosphere.txt  5/34  0.9268333333333333   0.839622641509434
McTwo/ionosphere.txt  2/34  0.9141666666666668   0.9056603773584906
hybrid reset particles  hybrid_init  v/=4:
McTwo/ionosphere.txt  11/34  0.9268333333333333   0.8207547169811321
McTwo/ionosphere.txt  5/34  0.9433333333333331   0.8773584905660378
McTwo/ionosphere.txt  3/34  0.9255000000000001   0.839622641509434
McTwo/ionosphere.txt  5/34  0.9143333333333332   0.8679245283018868
McTwo/ionosphere.txt  7/34  0.9143333333333334   0.8490566037735849
McTwo/ionosphere.txt  7/34  0.9183333333333333   0.8584905660377359
McTwo/ionosphere.txt  5/34  0.9383333333333332   0.8018867924528302
McTwo/ionosphere.txt  6/34  0.9229999999999998   0.8867924528301887
McTwo/ionosphere.txt  5/34  0.9223333333333332   0.8584905660377359
McTwo/ionosphere.txt  7/34  0.9508333333333333   0.8113207547169812
hybrid reset particles  hybrid_init  v/=4:
McTwo/ionosphere.txt  6/34  0.9146666666666668   0.8584905660377359
McTwo/ionosphere.txt  9/34  0.9228333333333334   0.8584905660377359
McTwo/ionosphere.txt  6/34  0.9221666666666666   0.8113207547169812
McTwo/ionosphere.txt  5/34  0.9143333333333334   0.7830188679245284
McTwo/ionosphere.txt  5/34  0.9103333333333332   0.8867924528301887
McTwo/ionosphere.txt  2/34  0.9303333333333332   0.8207547169811321
McTwo/ionosphere.txt  5/34  0.9146666666666665   0.8207547169811321
McTwo/ionosphere.txt  11/34  0.9096666666666666   0.8018867924528302
McTwo/ionosphere.txt  3/34  0.914   0.8301886792452831
McTwo/ionosphere.txt  9/34  0.9179999999999999   0.8207547169811321
McTwo/ionosphere.txt  5/34  0.9223333333333332   0.8301886792452831
McTwo/ionosphere.txt  3/34  0.9056666666666666   0.9056603773584906
McTwo/ionosphere.txt  13/34  0.8936666666666666   0.8018867924528302
McTwo/ionosphere.txt  7/34  0.9106666666666667   0.8301886792452831
McTwo/ionosphere.txt  13/34  0.9148333333333334   0.8584905660377359
